Unnamed: 0,Question,Answer,Solution
2,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Tomato
B. Cucumber
C. Brinjal
D. Carrot
E. Gourd
",D,"Carrot is the only vegetable which grows underground.
"
3,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Coarse
B. Unrefined
C. Vulgar
D. Oafish
E. Blunt
",E,"All except Blunt are synonyms.
"
4,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Seal
B. Scorpion
C. Fish
D. Lion
",A,"All except Seal are creatures related to signs of zodiac.
"
0,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Month
B. Year
C. Fortnight
D. Season
E. week
",D,"All except Season are precise measurements for days.
"
1,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Kennel
B. House
C. Stable
D. Aviary
E. Aquarium
",B,"All except House are places to rear one or the other animal.
"
2,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Tortoise
B. Duck
C. Snake
D. Whale
E. Crow
",D,"All except Whale lay eggs.
"
3,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Cliff
B. Canyon
C. Gulch
D. Gorge
E. Ravine
",A,"All except Cliff are geographical features associated with river, while cliff is associated with sea.
"
4,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Actor
B. Artist
C. Musician
D. Dancer
E. Poet
",E,"All except Poet perform on stage.
"
0,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Sketch
B. Diagram
C. Poster
D. Chart
E. Paper
",E,"All others can be drawn on paper.
"
1,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Mew
B. Howl
C. Bark
D. Grunt
E. Shout
",E,"All except Shout are sounds produced by animals.
"
2,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Hostel
B. Hotel
C. Inn
D. Club
E. Motel
",D,"All except Club are places where people can stay.
"
3,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Blue
B. Green
C. White
D. Yellow
",C,"All except White are colours of the' rainbow.
"
4,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Fox
B. Yak
C. Bear
D. Kangaroo
E. Sheep
",D,"All except Kangaroo have thick hair or fur on their skin.
"
0,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Trigger
B. Muzzle
C. Pallete
D. Barrel
E. Bullet
",C,"All except Pallete are parts of a gun.
"
1,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Cigar
B. Cigarette
C. Tobacco
D. Pipe
E. Hookah
",C,"All except Tobacco are means of smoking.
"
2,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Run
B. Walk
C. Think
D. Jump
E. Swim
",C,"All except Think denote physical activities.
"
3,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Taste
B. Chew
C. Swallow
D. Gulp
E. Lick
",A,"All except Taste are ways of eating.
"
4,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Sun
B. Moon
C. Star
D. Planets
E. Universe
",E,"All except Universe form a part of the universe.
"
0,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Guava
B. Litchi
C. Papaya
D. Watermelon
E. Jackfruit
",D,"All except Watermelon grow on trees, while watermelon grows on creepers.
"
1,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Cabbage
B. Papaya
C. Gourd
D. Cucumber
E. Brinjal
",B,"All except Papaya are vegetables, while papaya is a fruit.
"
2,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Jordan
B. Bhutan
C. Turkey
D. Norway
E. Spain
",C,"All except Turkey are countries ruled by kings.
"
3,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Engineer
B. Architect
C. Mechanic
D. Mason
E. Blacksmith
",C,"All except Mechanic help in building a house.
"
4,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Sleet
B. Fog
C. Hailstone
D. Vapour
E. Mist
",D,"All except Vapour are different forms of precipitation.
"
0,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Lake
B. Sea
C. River
D. Pool
E. Pond
",C,"All except River contain stagnant water.
"
1,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Cow
B. Deer
C. Donkey
D. Rhinoceros
E. Goat
",C,"All except Donkey have horns.
"
2,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Rose
B. Lotus
C. Marigold
D. Lily
E. Tulip
",B,"All except Lotus are flowers which grow on land, while lotus grows in water.
"
3,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Metre
B. Furlong
C. Yard
D. Mile
E. Acre
",E,"All except Acre are units of measuring distance, while acre is a unit of area.
"
4,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Snore
B. Slumber
C. Yawn
D. Doze
E. Dream
",C,"All except Yawn are actions in sleep, while yawn is a form of boredom.
"
0,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Spade
B. Spanner
C. Shovel
D. Rake
E. Pick-axe
",B,"All except Spanner are tools used by aganfener, while a spanner is used by a carpenter.
"
1,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Calf
B. Cub
C. Piglet
D. Duckling
E. Hireling
",E,"All except Hireling are young ones of animals.
"
2,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. King
B. Queen
C. Bishop
D. Minister
E. Knight
",D,"All except Minister are chessmen.
"
3,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Zinc
B. Iron
C. Aluminium
D. Copper
E. Mercury
",E,"Mercury is the only liquid metal in the group.
"
4,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Skull
B. Appendix
C. Pelvis
D. Fibula
E. Vertebra
",B,"All except Appendix are bones, while appendix is an organ.
"
0,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Odour
B. Smell
C. Foul
D. Fragrance
E. Jncense
",C,"All except Foul are synonyms.
"
1,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Nail
B. Feather
C. Trunk
D. Fir
E. Tail
",D,"All except Fir are parts of birds or animals, while fir is a tree.
"
2,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Thermocouple
B. Hygrometer
C. Anemometer
D. Seismograph
E. Sphygmomanometer
",E,"All except Sphygmomanometer are geographical instruments, while sphygmomanometer is a clinical instrument to measure blood pressure.
"
3,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Daman
B. Pondicherry
C. Chandigarh
D. Lucknow
E. Lakshadweep
",D,"All except Lucknow are Union Territories.
"
4,"In each of the following questions, five words have been given out of which four are alike in some manner, while the fifth one is different. Choose the word which is different from the rest.

Choose the word which is different from the rest.

A. Birbal
B. Abul Fazal
C. Tansen
D. Faiz Ahmed
E. Todar Mai
",D,"All except Faiz Ahmed were among the nine gems in Akbar's court.
"
0,"Each problem consists of three statements. Based on the first two statements, the third statement may be true, false, or uncertain.

Oat cereal has more fiber than corn cereal but less fiber than bran cereal.
Corn cereal has more fiber than rice cereal but less fiber than wheat cereal.
Of the three kinds of cereal, rice cereal has the least amount of fiber.
If the first two statements are true, the third statement is

A. true
B. false
C. uncertain
",A,"From the first statement, we know that bran cereal has more fiber than both oat cereal and corn cereal. From the second statement, we know that rice cereal has less fiber than both corn and wheat cereals. Therefore, rice cereal has the least amount of fiber."
1,"Each problem consists of three statements. Based on the first two statements, the third statement may be true, false, or uncertain.

Martina is sitting in the desk behind Jerome.
Jerome is sitting in the desk behind Bryant.
Bryant is sitting in the desk behind Martina.
If the first two statements are true, the third statement is

A. true
B. false
C. uncertain
",B,"Given the information in the first two statements, Bryant is sitting in front of both Jerome and Martina, so the third statement must be false."
2,"Each problem consists of three statements. Based on the first two statements, the third statement may be true, false, or uncertain.

Battery X lasts longer than Battery Y.
Battery Y doesn't last as long as Battery Z.
Battery Z lasts longer than Battery X.
If the first two statements are true, the third statement is

A. true
B. false
C. uncertain
",C,"The first two statements indicate that Battery Y lasts the least amount of time, but it cannot be determined if Battery Z lasts longer than Battery X."
3,"Each problem consists of three statements. Based on the first two statements, the third statement may be true, false, or uncertain.

Spot is bigger than King and smaller than Sugar.
Ralph is smaller than Sugar and bigger than Spot.
King is bigger than Ralph.
If the first two statements are true, the third statement is

A. true
B. false
C. uncertain
",B,"Spot is bigger than King, and Ralph is bigger than Spot. Therefore, King must be smaller than Ralph."
4,"Each problem consists of three statements. Based on the first two statements, the third statement may be true, false, or uncertain.

Middletown is north of Centerville.
Centerville is east of Penfield.
Penfield is northwest of Middletown.
If the first two statements are true, the third statement is

A. true
B. false
C. uncertain
",B,"Because the first two statements are true, Penfield is  west of Centerville and southwest of Middletown. Therefore, the third statement is false."
0,"The logic problems in this set present you with three true statements: Fact 1, Fact 2, and Fact 3. Then, you are given three more statements (labeled I, II, and III), and you must determine which of these, if any, is also a fact. One or two of the statements could be true; all of the statements could be true; or none of the statements could be true. Choose your answer based solely on the information given in the first three facts.

Fact 1:
All dogs like to run.


Fact 2:
Some dogs like to swim.


Fact 3:
Some dogs look like their masters.


If the first three statements are facts, which of the following statements must also be a fact?


I:
All dogs who like to swim look like their masters.


II:
Dogs who like to swim also like to run.


III:
Dogs who like to run do not look like their masters.

A. I only
B. II only
C. II and III only
D. None of the statements is a known fact.
",B,"Statement II is the only true statement. Since all dogs like to run, then the ones who like to swim also like to run. There is no support for statement I or statement III."
1,"The logic problems in this set present you with three true statements: Fact 1, Fact 2, and Fact 3. Then, you are given three more statements (labeled I, II, and III), and you must determine which of these, if any, is also a fact. One or two of the statements could be true; all of the statements could be true; or none of the statements could be true. Choose your answer based solely on the information given in the first three facts.

Fact 1:
Jessica has four children


Fact 2:
Two of the children have blue eyes and two of the children have brown eyes.


Fact 3:
Half of the children are girls.


If the first three statements are facts, which of the following statements must also be a fact?


I:
At least one girl has blue eyes.


II:
Two of the children are boys.


III:
The boys have brown eyes.

A. I only
B. II only
C. II and III only
D. None of the statements is a known fact.
",B,"Since one-half of the four children are girls, two must be boys. It is not clear which children have blue or brown eyes."
2,"The logic problems in this set present you with three true statements: Fact 1, Fact 2, and Fact 3. Then, you are given three more statements (labeled I, II, and III), and you must determine which of these, if any, is also a fact. One or two of the statements could be true; all of the statements could be true; or none of the statements could be true. Choose your answer based solely on the information given in the first three facts.

Fact 1:
All drink mixes are beverages.


Fact 2:
All beverages are drinkable.


Fact 3:
Some beverages are red.


If the first three statements are facts, which of the following statements must also be a fact?


I:
Some drink mixes are red.


II:
All beverages are drink mixes.


III:
All red drink mixes are drinkable.

A. I and II only
B. II only
C. I and III only
D. III only
E. None of the statements is a known fact.
",D,No answer description is available.  Let's discuss.
3,"The logic problems in this set present you with three true statements: Fact 1, Fact 2, and Fact 3. Then, you are given three more statements (labeled I, II, and III), and you must determine which of these, if any, is also a fact. One or two of the statements could be true; all of the statements could be true; or none of the statements could be true. Choose your answer based solely on the information given in the first three facts.

Fact 1:
All chickens are birds.


Fact 2:
Some chickens are hens.


Fact 3:
Female birds lay eggs.


If the first three statements are facts, which of the following statements must also be a fact?


I:
All birds lay eggs.


II:
Some Hens are birds.


III:
Some chickens are not hens.

A. I only
B. II only
C. II and III only
D. None of the statements is a known fact.
",C,"The first statement cannot be true because only female birds lay eggs. Statement II is true because some hens are chickens and all chickens are birds. Statement III is also true because if only some chickens are hens, then some must not be hens."
4,"The logic problems in this set present you with three true statements: Fact 1, Fact 2, and Fact 3. Then, you are given three more statements (labeled I, II, and III), and you must determine which of these, if any, is also a fact. One or two of the statements could be true; all of the statements could be true; or none of the statements could be true. Choose your answer based solely on the information given in the first three facts.

Fact 1:
All hats have brims.


Fact 2:
There are black hats and blue hats.


Fact 3:
Baseball caps are hats.


If the first three statements are facts, which of the following statements must also be a fact?


I:
All caps have brims.


II:
Some baseball caps are blue.


III:
Baseball caps have no brims.

A. I only
B. II only
C. II and III only
D. None of the statements is a known fact.
",D,"All baseball caps have brims, since baseball caps are  hats (Fact 3) and all hats have brims (Fact 1). This rules out statement III, but it doesn't follow that all caps, a category that may include caps that are not baseball caps, have brims (statement I). Statement II cannot be confirmed, either, since it is possible, given the information, that all baseball caps are black."
0,"Read the question carefully and choose the correct answer.

At the baseball game, Henry was sitting in seat 253. Marla was sitting to the right of Henry in seat 254. In the seat to the left of Henry was George. Inez was sitting to the left of George. Which seat is Inez sitting in?

A. 251
B. 254
C. 255
D. 256
",A,"If George is sitting at Henry's left, George's seat is 252. The next seat to the left, then, is 251."
1,"Read the question carefully and choose the correct answer.

As they prepare for the state championships, one gymnast must be moved from the Level 2 team to the Level 1 team. The coaches will move the gymnast who has won the biggest prize and who has the most experience. In the last competition, Roberta won a bronze medal and has competed seven times before. Jamie has won a silver medal and has competed fewer times than Roberta. Beth has won a higher medal than Jamie and has competed more times than Roberta. Michele has won a bronze medal, and it is her third time competing. Who will be moved to the Level 1 team?

A. Roberta
B. Beth
C. Michele
D. Jamie
",B,"Beth won the biggest prize, described as a higher medal than Jamie's, which we've been told was a silver medal. Roberta and Michele both won bronze medals, which are lower ranking medals than silver. Beth is also described as having competed more times than Roberta who has competed seven times. Jamie is described as having competed fewer times than Roberta, and Michele has competed three times. Therefore, Beth has competed more times than the others and has won the biggest prize to date."
2,"Read the question carefully and choose the correct answer.

Four friends in the sixth grade were sharing a pizza. They decided that the oldest friend would get the extra piece. Randy is two months older than Greg, who is three months younger than Ned. Kent is one month older than Greg. Who should get the extra piece of pizza?

A. Randy
B. Greg
C. Ned
D. Kent
",C,"If Randy is two months older than Greg, then Ned is three months older than Greg and one month older than Randy. Kent is younger than both Randy and Ned. Ned is the oldest."
3,"Read the question carefully and choose the correct answer.

The high school math department needs to appoint a new chairperson, which will be based on seniority. Ms. West has less seniority than Mr. Temple, but more than Ms. Brody. Mr. Rhodes has more seniority than Ms. West, but less than Mr. Temple. Mr. Temple doesn't want the job. Who will be the new math department chairperson?

A. Mr. Rhodes
B. Mr. Temple
C. Ms.West
D. Ms. Brody
",A,"Mr. Temple has the most seniority, but he does not want the job. Next in line is Mr. Rhodes, who has more seniority than Ms. West or Ms. Brody."
4,"Read the question carefully and choose the correct answer.

Danielle has been visiting friends in Ridge-wood for the past two weeks. She is leaving tomorrow morning and her flight is very early. Most of her friends live fairly close to the airport. Madison lives ten miles away. Frances lives five miles away, Samantha, seven miles. Alexis is farther away than Frances, but closer than Samantha. Approximately how far away from the airport is Alexis?

A. nine miles
B. seven miles
C. eight miles
D. six miles
",D,"Alexis is farther away than Frances, who is five miles away, and closer than Samantha, who is seven miles away."
0,"In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease, and by how much

Look at this series: 1.5, 2.3, 3.1, 3.9, ... What number should come next?

A. 4.2
B. 4.4
C. 4.7
D. 5.1
",C,"In this simple addition series, each number increases by 0.8."
1,"In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease, and by how much

Look at this series: 14, 28, 20, 40, 32, 64, ... What number should come next?

A. 52
B. 56
C. 96
D. 128
",B,"This is an alternating multiplication and subtracting  series: First, multiply by 2 and then subtract 8."
2,"In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease, and by how much

Look at this series: 2, 4, 6, 8, 10, ... What number should come next?

A. 11
B. 12
C. 13
D. 14
",B,This is a simple addition series. Each number increases by 2.
3,"In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease, and by how much

Look at this series: 201, 202, 204, 207, ... What number should come next?

A. 205
B. 208
C. 210
D. 211
",D,"In this addition series, 1 is added to the first number; 2 is added to the second number; 3 is added to the third number; 4 is added to the fourth number; and go on."
4,"In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease, and by how much

Look at this series: 544, 509, 474, 439, ... What number should come next?

A. 404
B. 414
C. 420
D. 445
",A,This is a simple subtraction series. Each number is 35 less than the previous number.
0,"In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease, and by how much

Look at this series: 80, 10, 70, 15, 60, ... What number should come next?

A. 20
B. 25
C. 30
D. 50
",A,"This is an alternating addition and subtraction series. In the first pattern, 10 is subtracted from each number to arrive at the next. In the second, 5 is added to each number to arrive at the next."
1,"In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease, and by how much

Look at this series: 2, 6, 18, 54, ... What number should come next?

A. 108
B. 148
C. 162
D. 216
",C,This is a simple multiplication series. Each number is 3 times more than the previous number.
2,"In each series, look for the degree and direction of change between the numbers. In other words, do the numbers increase or decrease, and by how much

Look at this series: 5.2, 4.8, 4.4, 4, ... What number should come next?

A. 3
B. 3.3
C. 3.5
D. 3.6
",D,"In this simple subtraction series, each number decreases by 0.4."
